Source,Target,Weight
Peter Daval,Daniel Wray,101
Samuel Clark,Philip Miller,101
Henry Cavendish,Samuel Dyer,101
Richard Roderick,Hugh Willoughby,101
William Tempest,Hugh Willoughby,100
John Walsh,James Burrow,100
Samuel Squire,James Postlethwaite,100
Samuel Clark,John Ellicot,99
Samuel Dyer,Gowin Knight,99
William Russell,Daniel Wray,99
Henry Cavendish,John Ross,99
John Hadley,Thomas Birch,98
John Walsh,Neville Maskeleyne,98
John Ross,Thomas Birch,97
James Douglas,Thomas Birch,97
William Musgrave,Daniel Solander,97
Charles  Feake,George Bell,97
William Hall,Charles  Feake,96
Joseph Planta,William Russell,96
Alex Russell,Josiah Colebrooke,96
Mark Akenside,William Tempest,96
Gowin Knight,James Postlethwaite,95
Matthew Raper,William Russell,95
Neville Maskeleyne,James Stuart,95
Alexander Dalrymple,John Pringle,95
James Douglas,William Watson,94
Neville Maskeleyne,Daniel Wray,94
Samuel Horsley,William Watson,94
Charles Cavendish,William Watson,93
William Tempest,George Bell,93
Peter Daval,Samuel Squire,93
John Lewis Pettit,William Watson,93
William Hall,George Bell,93
Alexander Dalrymple,Neville Maskeleyne,93
Philip Miller,Peter Newcome,92
Richard Roderick,James Postlethwaite,92
Alexander Aubert,Edward Hooper,92
Charles Stanhope,Daniel Wray,92
Charles Stanhope,Nicholas Munckley,91
John Lewis Pettit,James Burrow,91
James Postlethwaite,Nicholas Munckley,91
James Postlethwaite,John Ellicot,91
Martin Folkes,Daniel Wray,91
Charles Morton,Matthew Raper,91
William Russell,Josiah Colebrooke,90
Patrick Russell,William Russell,90
William Heberden,Samuel Squire,90
Charleton Wollaston,Josiah Colebrooke,90
Henry Bolt Cay,Nicholas Munckley,89
Alexander Aubert,Alexander Dalrymple,89
John Walsh,Alexander Aubert,89
William Musgrave,William Russell,89
Charles Stanhope,Samuel Squire,89
Martin Folkes,Samuel Squire,89
James Stuart,James Burrow,89
Alexander Dalrymple,James Burrow,88
John Walsh,Samuel Horsley,88
Samuel Squire,Peter Newcome,88
James Postlethwaite,James Burrow,88
George Parker Macclesfield,William Tempest,88
William Hall,James Postlethwaite,87
Joseph Banks,William Russell,87
William Hall,Peter Newcome,87
William Tempest,William Hall,87
Alexander Aubert,James Stuart,87
Samuel Horsley,Charles Morton,87
John Pringle,John Ellicot,87
Matthew Raper,Gowin Knight,86
Gowin Knight,Charles Stanhope,86
John Hadley,Josiah Colebrooke,86
Charles Morton,Daniel Wray,86
Robert Watson,Josiah Colebrooke,85
Philip Miller,Peter Daval,85
Edward Hooper,Charles Morton,84
Samuel Horsley,Edward Hooper,84
Alexander Aubert,Charles Morton,84
William Heberden,George Bell,84
James Creed,Nicholas Munckley,84
Samuel Dyer,John Ellicot,84
Henry Cavendish,Joseph Ayloffe,84
Henry Cavendish,William Hall,83
Philip Miller,George Bell,83
William Mann Godschal,Henry Cavendish,83
Peter Newcome,Hugh Willoughby,83
James Douglas,John Ellicot,83
Joseph Banks,James Burrow,83
Charleton Wollaston,Thomas Birch,83
Mark Akenside,George Parker Macclesfield,83
John Cooksey,Josiah Colebrooke,83
Patrick Russell,John Pringle,83
Charles Stanhope,Richard Roderick,83
John Clephane,Josiah Colebrooke,82
William Heberden,Charles  Feake,82
Samuel Wegg,James Burrow,82
Gowin Knight,James Creed,82
James Stuart,William Watson,80
Mark Akenside,George Bell,80
Matthew Raper,Daniel Wray,80
James Creed,James Burrow,80
Mark Akenside,Hugh Willoughby,80
William Hall,Peter Daval,80
Matthew Raper,John Ross,80
John Ross,Nicholas Munckley,80
George Parker Macclesfield,Richard Roderick,80
George Baker,Henry Cavendish,79
Joseph Planta,Neville Maskeleyne,79
Daniel Solander,Daniel Wray,79
William Hall,Hugh Willoughby,79
Philip Miller,John Pringle,78
John Cuthbert,Henry Cavendish,78
Henry Cavendish,Gowin Knight,78
Charles Cavendish,James Burrow,78
James Stuart,Matthew Raper,78
Charles Stanhope,John Ellicot,78
Alexander Dalrymple,William Watson,78
Charles Cavendish,Richard Roderick,78
Alexander Aubert,Matthew Raper,78
Samuel Horsley,James Stuart,77
Joseph Planta,Alexander Aubert,77
Charles Cavendish,Nicholas Munckley,77
Philip Miller,William Heberden,77
Joseph Banks,Neville Maskeleyne,77
William Heberden,Richard Roderick,77
Charles Cavendish,Gowin Knight,77
William Tempest,James Postlethwaite,76
Martin Folkes,James Burrow,76
Charles  Feake,James Postlethwaite,76
Richard Huck Saunders,Josiah Colebrooke,76
Samuel Wegg,Josiah Colebrooke,76
Joseph Planta,Alexander Dalrymple,76
John Hadley,William Watson,76
Charles Cavendish,John Ellicot,76
Charles  Feake,Martin Folkes,76
Mark Akenside,Charles  Feake,76
Philip Miller,Charles Cavendish,75
John Cope,James Burrow,75
Robert Watson,Thomas Birch,75
James Creed,Daniel Wray,75
Richard Roderick,Peter Newcome,75
Charles Morton,Nicholas Munckley,75
Matthew Raper,John Ellicot,75
Samuel Clark,George Parker Macclesfield,74
Samuel Wegg,William Watson,74
Patrick Russell,Neville Maskeleyne,74
George Bell,Hugh Willoughby,74
Philip Miller,Charles  Feake,74
Alex Russell,William Watson,74
Charles  Feake,Hugh Willoughby,73
Samuel Clark,Hugh Willoughby,73
Henry Cavendish,James Douglas,73
