Source,Target,Weight
George Baker,Matthew Maty,17
Samuel Hemming,Matthew Duane,17
John Lewis Pettit,Alex Russell,17
Matthew Maty,Henry Bolt Cay,17
James West,Daniel Wray,17
Henry Bolt Cay,James Stuart,17
George Baker,James Douglas,17
Charles Cavendish,John Cooksey,17
Michael Lort,Matthew Raper,17
Richard Kaye,Charles Morton,17
Richard Roderick,George Lewis Scott,17
Samuel Clark,James West,17
Neville Maskeleyne,Alex Russell,17
Thomas Wood,Nicholas Munckley,17
John Cope,Joshua Iremonger,17
Joseph Banks,John Ross,17
Richard Huck Saunders,Robert Watson,17
William Roy,Alexander Aubert,17
Martin Folkes,John Cooksey,17
Joshua Iremonger,Gowin Knight,17
John Turton,Charles Morton,17
Alexander Dalrymple,Joseph Ayloffe,17
Alex Russell,Peter Daval,17
Thomas Astle,James Burrow,17
Daines Barrington,Samuel Dyer,17
Peter Daval,James Gibbs,17
Samuel Clark,Charles Cavendish,17
James West,Philip Miller,17
Joseph Banks,Joseph Ayloffe,17
Richard Huck Saunders,Charles  Feake,17
William Roy,William Russell,17
Jeremy Dyson,Thomas Birch,17
John Cope,Robert Burrow,17
John Cope,James Douglas,17
Robert Burrow,Thomas Birch,17
John Smeaton,Nicholas Munckley,17
Richard Roderick,William Dixon,17
Samuel Horsley,William Hall,17
William Junior Watson,Charles Morton,17
Richard Huck Saunders,Charles Stanhope,17
Richard Graham,Daniel Wray,17
George Bell,William Dixon,16
Samuel Horsley,Robert Barker,16
George  Graham,William Dixon,16
Jonathan Richardson,Hugh Willoughby,16
Neville Maskeleyne,Charles Cavendish,16
William Hall,Jeremy Dyson,16
Henry Bolt Cay,Alex Russell,16
Robert Burrow,Samuel Wegg,16
Charles Cavendish,David Papillon,16
William Fauquier,Richard Roderick,16
George Lewis Scott,Hugh Willoughby,16
John Ross,John Hyde,16
Henry Cavendish,William Fauquier,16
Henry Bolt Cay,John Hadley,16
John Mitchel,Thomas Birch,16
Peter Daval,William Dixon,16
Samuel Dyer,Charles Cavendish,16
Richard Huck Saunders,John Cooksey,16
Samuel Clark,James Creed,16
Cadogan,Nicholas Munckley,16
Charleton Wollaston,John Cooksey,16
William Battie,Nicholas Munckley,16
William Russell,Nicholas Munckley,16
Philip Miller,David Papillon,16
Philip Miller,William Fauquier,16
Taylor White,Mark Akenside,16
Samuel Chandler,Philip Miller,16
Charles  Feake,William Battie,16
Paul Whichcote,James Postlethwaite,16
Robert Burrow,John Ross,16
Charles Blagden,Charles Morton,16
David Papillon,Peter Newcome,16
Hugh Hume,William Tempest,16
Lewis Crusius,Thomas Birch,16
Cadogan,John Ellicot,16
Charles  Feake,George Lewis Scott,16
Mark Akenside,Jeremy Dyson,16
John Walsh,Robert Barker,16
Joseph Planta,William Heberden,16
Richard Kaye,Joseph Ayloffe,16
Joseph Banks,John Cuthbert,16
James Postlethwaite,William Dixon,16
John Darker,William Watson,16
Francis Wollaston,Henry Cavendish,16
John Ross,Joshua Iremonger,16
Wellbore Ellis,Hugh Willoughby,16
Peter Daval,Jonathan Richardson,16
Joshua Iremonger,George Parker Macclesfield,16
Isaac Hawkins-Brown,Peter Newcome,16
Alexander Dalrymple,George Baker,16
Samuel Clark,John Cooksey,16
John Cope,John Ellicot,16
Robert Moore,James Burrow,16
Cadogan,Samuel Squire,16
Richard Huck Saunders,Charles Cavendish,16
William Freeman,William Watson,16
Richard Kaye,John Cuthbert,16
James Gibbs,James Creed,16
Matthew Maty,James West,16
David Papillon,Charles Stanhope,16
Joseph Warner,Peter Newcome,16
Matthew Duane,Samuel Horsley,16
Patrick Russell,John Smeaton,16
Peter Newcome,William Dixon,16
Taylor White,Charles Cavendish,16
Hugh Hume,Daniel Wray,16
Isaac Hawkins-Brown,James Postlethwaite,16
John Hadley,Mark Akenside,16
Charles Stanhope,Jonathan Richardson,16
Mark Akenside,David Papillon,16
Mark Akenside,George Lloyd,15
William Roy,Edward Hooper,15
William Heberden,Jonathan Richardson,15
John Lewis Pettit,Peter Newcome,15
George Baker,John Ellicot,15
Arthur Pond,John Pringle,15
Benjamin Robins,Daniel Wray,15
Joseph Banks,Michael Lort,15
John Pringle,Robert Barker,15
James West,Mark Akenside,15
Joshua Iremonger,Hugh Willoughby,15
Samuel Squire,Richard Graham,15
Charleton Wollaston,John Clephane,15
John Turton,William Russell,15
Samuel Dyer,Peter Daval,15
Jeremy Dyson,Daniel Wray,15
Charles Morton,John Hadley,15
James Douglas,Samuel Squire,15
Francis Fauquier,John Pringle,15
Paul Whichcote,Charles  Feake,15
Matthew Raper,Francis Fauquier,15
Robert Burrow,Daniel Wray,15
Alex Russell,Samuel Squire,15
William Junior Watson,Edward Hooper,15
Alexander Dalrymple,John Lewis Pettit,15
George  Graham,William Battie,15
George Lewis Scott,John Ellicot,15
John Turton,James Burrow,15
William Russell,Gowin Knight,15
Thomas Astle,Edward Hooper,15
John Walsh,William Junior Watson,15
Samuel Hemming,Michael Lort,15
Charleton Wollaston,Isaac Hawkins-Brown,15
George Lloyd,Peter Newcome,15
Samuel Chandler,James Douglas,15
Alexander Aubert,Thomas Astle,15
George Bell,Richard Graham,15
Matthew Raper,Joseph Warner,15
John Turton,Neville Maskeleyne,15
Richard Kaye,Matthew Raper,15
Matthew Raper,Robert Watson,15
John Pringle,William Fauquier,15
John Cuthbert,James West,15
Benjamin Robins,Thomas Birch,15
John Darker,James Stuart,15
Matthew Raper,George Bell,15
George Lewis Scott,George Bell,15
William Musgrave,Robert Barker,15
John Smeaton,Samuel Dyer,15
William Mann Godschal,Nicholas Munckley,15
Samuel Chandler,John Ross,15
Richard Graham,Thomas Birch,15
Patrick Russell,Samuel Wegg,15
John Walsh,John Lewis Pettit,15
William Freeman,Samuel Squire,15
Anthony Shepherd,William Watson,15
George Lloyd,William Hall,15
William Hall,Jonathan Richardson,15
Joseph Banks,George Baker,15
Arthur Pond,George Parker Macclesfield,15
John Colebrooke,William Watson,15
Thomas Astle,Joseph Banks,15
John Walsh,John Cuthbert,15
Wellbore Ellis,William Hall,14
Joseph Warner,George Parker Macclesfield,14
William Fauquier,William Heberden,14
John Colebrooke,Daniel Wray,14
Alex Russell,John Hadley,14
Joseph Banks,Robert Burrow,14
William Freeman,Hugh Willoughby,14
John Lewis Pettit,Philip Miller,14
Ralph Verney,James Douglas,14
William Mann Godschal,Samuel Dyer,14
William Freeman,Martin Folkes,14
George Lloyd,Charles  Feake,14
William Musgrave,Henry Bolt Cay,14
Joseph Banks,William Heberden,14
Alex Russell,James West,14
William Battie,John Ellicot,14
Edward Hooper,Samuel Dyer,14
Matthew Duane,Matthew Raper,14
William Musgrave,John Smeaton,14
Francis Fauquier,James Creed,14
Benjamin Robins,Nicholas Munckley,14
William Junior Watson,Alexander Dalrymple,14
William Roy,James Burrow,14
Charles Blagden,Edward Hooper,14
Samuel Mead,James Burrow,14
Robert Burrow,Samuel Dyer,14
John Walsh,Matthew Maty,14
Thomas Wood,William Watson,14
Cadogan,George Parker Macclesfield,14
Alexander Aubert,William Junior Watson,14
Henry Cavendish,Cadogan,14
George  Graham,Richard Roderick,14
Matthew Maty,William Heberden,14
John Colebrooke,Josiah Colebrooke,14
Mark Akenside,William Fauquier,14
John Walsh,Robert Burrow,14
Thomas Astle,Daniel Wray,14
John Mitchel,Nicholas Munckley,14
Joshua Iremonger,Daniel Wray,14
George Lloyd,Hugh Willoughby,14
George  Graham,James Gibbs,14
Samuel Clark,Charles  Feake,14
James West,Hugh Willoughby,14
Robert Barker,James Burrow,14
Alex Russell,John Hyde,14
Samuel Horsley,Gowin Knight,14
John Darker,John Ross,14
Samuel Dyer,William Tempest,14
Ralph Verney,John Ellicot,14
Daines Barrington,Joseph Banks,14
John Cope,William Mann Godschal,14
Isaac Hawkins-Brown,Peter Daval,14
Edward Hooper,James West,14
Samuel Clark,Robert Watson,14
George Lewis Scott,Thomas Birch,14
Henry Bolt Cay,Peter Newcome,14
Joseph Warner,Mark Akenside,14
Lewis Crusius,Nicholas Munckley,14
Wellbore Ellis,James Postlethwaite,14
Jonathan Richardson,Peter Newcome,14
Charles Stanhope,William Dixon,14
Henry Bolt Cay,Robert Burrow,14
James Stuart,Robert Barker,14
Charles  Feake,Benjamin Robins,14
Matthew Raper,George Lloyd,14
Wellbore Ellis,James Creed,14
William Roy,William Watson,14
John Ross,John Hadley,14
Samuel Wegg,Gowin Knight,14
Taylor White,Charles  Feake,13
Thomas Astle,Samuel Wegg,13
Matthew Duane,Robert Barker,13
William Battie,Martin Folkes,13
Arthur Pond,Mark Akenside,13
Samuel Clark,John Clephane,13
Matthew Raper,Charles Cavendish,13
Thomas Astle,Matthew Raper,13
Charleton Wollaston,Robert Watson,13
Alexander Dalrymple,Daines Barrington,13
Samuel Wegg,James West,13
Joshua Iremonger,Peter Newcome,13
James Gibbs,William Freeman,13
John Ross,Charles Cavendish,13
Matthew Raper,Isaac Hawkins-Brown,13
George Parker Macclesfield,George Lloyd,13
Joseph Banks,John Smeaton,13
William Russell,Alex Russell,13
Francis Wollaston,James Burrow,13
Richard Kaye,Robert Burrow,13
Robert Burrow,John Lewis Pettit,13
Joseph Banks,Matthew Maty,13
Alexander Aubert,Daines Barrington,13
Samuel Dyer,George Bell,13
Richard Huck Saunders,John Pringle,13
Matthew Duane,Joseph Banks,13
John Hadley,James Douglas,13
John Lewis Pettit,Joseph Ayloffe,13
John Smeaton,John Ross,13
Robert Burrow,Matthew Raper,13
John Mitchel,Daniel Wray,13
John Ross,Paul Whichcote,13
James Stuart,John Smeaton,13
William Musgrave,George Baker,13
Joseph Warner,William Tempest,13
Isaac Hawkins-Brown,William Heberden,13
John Smeaton,John Lewis Pettit,13
John Smeaton,Matthew Raper,13
Wellbore Ellis,Charles  Feake,13
George Lloyd,Peter Daval,13
John Hyde,James Douglas,13
John Ross,Richard Huck Saunders,13
Henry Cavendish,Peter Daval,13
David Papillon,George  Graham,13
James Gibbs,Jonathan Richardson,13
Arthur Pond,Robert Watson,13
Richard Roderick,Richard Graham,13
William Freeman,Richard Roderick,13
Robert Moore,Mark Akenside,13
William Roy,John Walsh,13
Jeremy Dyson,George Bell,13
Samuel Mead,John Ellicot,13
Robert Burrow,John Ellicot,13
Matthew Maty,Samuel Wegg,13
Daniel Solander,John Turton,13
John Darker,Daines Barrington,13
John Turton,James Stuart,13
William Mann Godschal,Samuel Wegg,13
John Ross,Mark Akenside,13
Joseph Ayloffe,Daniel Wray,13
Charleton Wollaston,Wellbore Ellis,13
Charles Cavendish,William Fauquier,13
William Freeman,Daniel Wray,13
Henry Cavendish,George Lloyd,13
James Douglas,William Tempest,13
John Hyde,Peter Daval,13
John Cuthbert,William Heberden,13
Joshua Iremonger,Samuel Squire,13
John Hadley,Francis Fauquier,13
Matthew Maty,John Lewis Pettit,13
Arthur Pond,Peter Newcome,13
William Russell,John Ellicot,13
James Douglas,Charles Cavendish,13
Edward Hooper,Robert Burrow,13
William Freeman,Nicholas Munckley,13
Taylor White,William Hall,13
William Fauquier,George Bell,13
Alexander Dalrymple,Thomas Astle,13
John Walsh,Matthew Duane,13
Michael Lort,Samuel Wegg,13
John Mitchel,Martin Folkes,13
Arthur Pond,George Bell,13
Richard Huck Saunders,Peter Daval,13
John Darker,Joseph Banks,13
Gowin Knight,William Battie,13
Samuel Clark,Arthur Pond,13
George  Graham,James Postlethwaite,13
Robert Barker,William Watson,13
John Cope,Matthew Maty,13
Charleton Wollaston,James Postlethwaite,13
William Battie,Thomas Birch,13
Matthew Duane,William Mann Godschal,12
Paul Whichcote,James Creed,12
William Roy,James Stuart,12
James Porter,Josiah Colebrooke,12
Charles  Feake,Jeremy Dyson,12
Jeremy Dyson,John Ellicot,12
Samuel Dyer,William Fauquier,12
Patrick Russell,William Heberden,12
Richard Graham,Hugh Willoughby,12
George Baker,Joseph Ayloffe,12
Samuel Mead,Hugh Willoughby,12
Henry Bolt Cay,Joshua Iremonger,12
Francis Wollaston,John Pringle,12
Arthur Pond,Hugh Willoughby,12
William Roy,Samuel Horsley,12
Richard Huck Saunders,James Creed,12
Isaac Hawkins-Brown,Charles  Feake,12
Gowin Knight,William Dixon,12
John Darker,Alexander Dalrymple,12
Samuel Dyer,Joseph Ayloffe,12
Cadogan,John Pringle,12
James Douglas,Lewis Crusius,12
Richard Kaye,Daniel Wray,12
John Mitchel,Richard Roderick,12
John Darker,Joseph Ayloffe,12
David Papillon,James Creed,12
John Cuthbert,George Baker,12
John Ross,William Tempest,12
Richard Kaye,Henry Bolt Cay,12
Francis Fauquier,William Tempest,12
William Musgrave,Anthony Shepherd,12
Anthony Shepherd,James Stuart,12
Henry Bolt Cay,Hugh Willoughby,12
Alexander Dalrymple,John Cuthbert,12
Charleton Wollaston,Richard Huck Saunders,12
Samuel Mead,Samuel Clark,12
Samuel Horsley,James West,12
Matthew Maty,James Stuart,12
Patrick Russell,George Baker,12
James West,Samuel Squire,12
Charles Blagden,John Cope,12
William Junior Watson,Daines Barrington,12
Matthew Raper,Cadogan,12
James West,William Heberden,12
William Musgrave,Samuel Wegg,12
Peter Newcome,Richard Graham,12
George Lloyd,James Postlethwaite,12
Francis Fauquier,Charles Cavendish,12
John Pringle,Paul Whichcote,12
Wellbore Ellis,Peter Newcome,12
Isaac Hawkins-Brown,George Bell,12
Samuel Mead,Matthew Raper,12
Samuel Dyer,George Lloyd,12
Cadogan,Hugh Willoughby,12
William Freeman,Thomas Birch,12
Robert Burrow,James West,12
Charleton Wollaston,John Hadley,12
Wellbore Ellis,Charles Cavendish,12
Edward Hooper,Robert Barker,12
Hugh Hume,Mark Akenside,12
Alex Russell,Peter Newcome,12
Charles Blagden,Patrick Russell,12
Henry Cavendish,Joseph Warner,12
Robert Moore,George Bell,12
John Hyde,George Parker Macclesfield,12
George Baker,John Ross,12
John Cuthbert,Samuel Dyer,12
Richard Huck Saunders,George Bell,12
William Heberden,William Battie,12
James Douglas,William Fauquier,12
Mark Akenside,Jonathan Richardson,12
John Clephane,George Lloyd,12
Anthony Shepherd,Michael Lort,12
Charleton Wollaston,Paul Whichcote,12
Daniel Solander,William Seward,12
Samuel Mead,Henry Cavendish,12
Matthew Raper,Richard Roderick,12
Henry Cavendish,William Seward,12
William Hall,George Lewis Scott,12
John Smeaton,James Douglas,12
Richard Kaye,James West,12
Patrick Russell,William Junior Watson,12
Lewis Crusius,James Burrow,12
Gowin Knight,Jeremy Dyson,12
Arthur Pond,Peter Daval,12
Charles Morton,William Fauquier,12
Charles Stanhope,Jeremy Dyson,12
William Roy,Neville Maskeleyne,12
John Cuthbert,Samuel Wegg,12
Matthew Duane,Daniel Wray,12
Ralph Verney,Samuel Clark,12
Samuel Clark,Joshua Iremonger,12
Joseph Ayloffe,Nicholas Munckley,12
William Musgrave,John Cuthbert,12
Gowin Knight,John Mitchel,12
John Colebrooke,Martin Folkes,12
Richard Kaye,Daines Barrington,12
Joseph Planta,John Cope,12
Richard Kaye,John Cope,12
John Hadley,John Pringle,12
Matthew Raper,Richard Huck Saunders,12
John Hyde,Peter Newcome,12
Cadogan,Philip Miller,12
Samuel Dyer,James Creed,12
William Tempest,David Papillon,12
Joseph Planta,Joseph Ayloffe,12
David Papillon,Peter Daval,12
Charles Morton,Peter Daval,11
Samuel Hemming,Daniel Wray,11
John Cope,George Baker,11
Gowin Knight,George Lewis Scott,11
Henry Bolt Cay,Samuel Chandler,11
Arthur Pond,James Postlethwaite,11
Isaac Hawkins-Brown,Richard Roderick,11
Matthew Raper,Wellbore Ellis,11
John Cuthbert,Henry Bolt Cay,11
Matthew Raper,James Creed,11
James Creed,George Lewis Scott,11
Arthur Pond,Charles Stanhope,11
Joseph Planta,Thomas Astle,11
John Mitchel,Samuel Squire,11
William Musgrave,Matthew Maty,11
Matthew Raper,Charles Stanhope,11
William Russell,William Hall,11
Samuel Horsley,Samuel Clark,11
Philip Miller,Jonathan Richardson,11
Samuel Hemming,Joseph Banks,11
William Roy,Matthew Raper,11
Richard Graham,John Ellicot,11
Richard Huck Saunders,Paul Whichcote,11
Benjamin Robins,John Ellicot,11
Wellbore Ellis,John Cooksey,11
John Smeaton,John Ellicot,11
Samuel Hemming,William Mann Godschal,11
George Lloyd,William Tempest,11
Benjamin Robins,Samuel Squire,11
John Colebrooke,Richard Graham,11
Lewis Crusius,John Ellicot,11
Daines Barrington,Robert Burrow,11
Anthony Shepherd,Samuel Wegg,11
Henry Bolt Cay,John Hyde,11
John Cuthbert,Joseph Ayloffe,11
Matthew Duane,Anthony Shepherd,11
Anthony Shepherd,Charles Morton,11
Samuel Clark,Taylor White,11
Charles  Feake,John Colebrooke,11
John Clephane,Paul Whichcote,11
James Creed,Jonathan Richardson,11
William Russell,James West,11
John Hadley,Richard Huck Saunders,11
Daniel Solander,Francis Wollaston,11
John Turton,Josiah Colebrooke,11
Ralph Verney,James West,11
Richard Graham,William Dixon,11
Samuel Hemming,John Lewis Pettit,11
Charleton Wollaston,Robert Moore,11
Matthew Duane,Samuel Wegg,11
John Cope,Daniel Wray,11
Wellbore Ellis,Charles Stanhope,11
Robert Moore,John Pringle,11
Samuel Hemming,William Heberden,11
Francis Wollaston,Josiah Colebrooke,11
William Freeman,James Burrow,11
Joseph Banks,Henry Bolt Cay,11
John Smeaton,Samuel Wegg,11
Charles Morton,Peter Newcome,11
George Parker Macclesfield,William Fauquier,11
Robert Burrow,James Stuart,11
Joshua Iremonger,William Hall,11
Joseph Planta,Matthew Maty,11
William Heberden,Jeremy Dyson,11
Joshua Iremonger,James Douglas,11
Thomas Wood,Samuel Clark,11
George Lloyd,George Bell,11
Thomas Astle,James West,11
Taylor White,George Bell,11
Joshua Iremonger,Richard Roderick,11
James Porter,Henry Cavendish,11
James Porter,Neville Maskeleyne,11
John Hyde,Hugh Willoughby,11
William Mann Godschal,William Heberden,11
Thomas Wood,John Ellicot,11
Lewis Crusius,Peter Newcome,11
William Seward,William Russell,11
George  Graham,Benjamin Robins,11
John Walsh,Anthony Shepherd,11
John Colebrooke,William Dixon,11
Robert Watson,William Heberden,11
Joseph Warner,William Hall,11
George Baker,Robert Burrow,11
William Roy,Alexander Dalrymple,11
Samuel Hemming,Samuel Wegg,11
Alexander Aubert,John Turton,11
Neville Maskeleyne,William Fauquier,11
Samuel Chandler,Matthew Raper,11
Daines Barrington,Henry Bolt Cay,11
James Gibbs,Richard Graham,11
John Smeaton,Joseph Ayloffe,11
Alex Russell,William Tempest,11
Philip Miller,Jeremy Dyson,11
John Lewis Pettit,Ralph Verney,11
John Cuthbert,John Lewis Pettit,11
Samuel Hemming,Robert Barker,11
James Gibbs,William Dixon,11
John Cope,John Cuthbert,11
Benjamin Prideaux,Josiah Colebrooke,11
Jeremy Dyson,James Postlethwaite,11
Charles Morton,Charles Cavendish,11
Joshua Iremonger,William Tempest,11
John Clephane,Jonathan Richardson,11
Arthur Pond,John Ross,11
Samuel Dyer,John Cooksey,11
Samuel Clark,James Postlethwaite,11
Samuel Dyer,Arthur Pond,11
William Battie,Richard Roderick,11
William Battie,Samuel Squire,11
William Musgrave,John Cope,11
Samuel Horsley,Alex Russell,11
William Battie,George Bell,11
John Lewis Pettit,George Lloyd,10
Samuel Dyer,Paul Whichcote,10
William Mann Godschal,John Lewis Pettit,10
Thomas Wood,Henry Cavendish,10
John Turton,Matthew Raper,10
John Turton,Daniel Wray,10
William Tempest,Jeremy Dyson,10
Arthur Pond,Charles  Feake,10
Patrick Russell,Henry Bolt Cay,10
John Colebrooke,Nicholas Munckley,10
William Russell,Thomas Birch,10
Samuel Chandler,John Hadley,10
Samuel Hemming,John Smeaton,10
Ralph Verney,Hugh Willoughby,10
Neville Maskeleyne,Hugh Willoughby,10
Daines Barrington,Daniel Wray,10
John Lewis Pettit,Samuel Chandler,10
Paul Whichcote,John Cooksey,10
Isaac Hawkins-Brown,John Clephane,10
Thomas Wood,James Douglas,10
George  Graham,John Colebrooke,10
Hugh Hume,Richard Roderick,10
Robert Burrow,Joseph Ayloffe,10
James Douglas,Peter Daval,10
William Musgrave,Thomas Astle,10
Matthew Duane,Richard Kaye,10
Matthew Raper,James Postlethwaite,10
Cadogan,John Ross,10
James West,Peter Newcome,10
Joseph Banks,Anthony Shepherd,10
Robert Watson,Francis Fauquier,10
Benjamin Robins,Peter Newcome,10
George Baker,Gowin Knight,10
Richard Kaye,Samuel Wegg,10
William Tempest,William Freeman,10
Alexander Dalrymple,Matthew Maty,10
James West,Richard Roderick,10
Anthony Shepherd,Daniel Wray,10
Cadogan,Mark Akenside,10
John Hyde,John Pringle,10
Benjamin Robins,George Bell,10
John Clephane,Francis Fauquier,10
Ralph Verney,James Burrow,10
Matthew Raper,Robert Moore,10
John Ross,Francis Fauquier,10
Taylor White,William Tempest,10
William Fauquier,Peter Newcome,10
Samuel Chandler,George Parker Macclesfield,10
Neville Maskeleyne,Cadogan,10
Isaac Hawkins-Brown,Charles Cavendish,10
James Creed,Jeremy Dyson,10
James West,George Lloyd,10
Wellbore Ellis,William Heberden,10
Hugh Hume,Peter Daval,10
Charles  Feake,William Freeman,10
Joshua Iremonger,Peter Daval,10
William Junior Watson,Joseph Ayloffe,10
Richard Kaye,William Junior Watson,10
Cadogan,Daniel Wray,10
William Hall,John Mitchel,10
Samuel Dyer,Richard Huck Saunders,10
John Hadley,Charles  Feake,10
Francis Fauquier,John Cooksey,10
Thomas Astle,John Cope,10
Samuel Chandler,Daniel Wray,10
David Papillon,William Dixon,10
Neville Maskeleyne,Joshua Iremonger,10
Patrick Russell,John Cuthbert,10
Robert Moore,Paul Whichcote,10
John Smeaton,James West,10
Taylor White,Peter Daval,10
Benjamin Robins,James Burrow,10
Patrick Russell,Joseph Ayloffe,10
Charles Morton,John Hyde,10
Richard Graham,James Burrow,10
John Walsh,William Heberden,10
Matthew Raper,William Fauquier,10
Joseph Planta,John Darker,10
William Musgrave,John Lewis Pettit,10
Ralph Verney,Samuel Dyer,10
Charles Blagden,William Roy,10
Mark Akenside,James Gibbs,10
Daines Barrington,John Lewis Pettit,10
John Mitchel,James Burrow,10
William Fauquier,Samuel Squire,10
John Mitchel,Charles  Feake,10
Neville Maskeleyne,George Lloyd,10
Thomas Astle,John Ross,10
Lewis Crusius,Gowin Knight,10
Samuel Wegg,Samuel Clark,10
Neville Maskeleyne,Peter Newcome,10
William Roy,Charles Morton,10
Arthur Pond,Charles Cavendish,10
William Freeman,James Creed,10
Joseph Planta,Richard Kaye,10
John Smeaton,Daniel Wray,10
Ralph Verney,Philip Miller,10
Samuel Hemming,Charles Morton,10
Ralph Verney,Matthew Raper,10
Francis Wollaston,William Watson,10
Taylor White,Peter Newcome,10
John Hyde,Charles Cavendish,9
Richard Huck Saunders,John Clephane,9
Charles Morton,Philip Miller,9
Neville Maskeleyne,Philip Miller,9
Samuel Mead,John Ross,9
Henry Bolt Cay,Lewis Crusius,9
Samuel Mead,Philip Miller,9
Lewis Crusius,William Hall,9
John Turton,William Heberden,9
John Pringle,David Papillon,9
Benjamin Prideaux,William Watson,9
John Smeaton,Thomas Birch,9
Michael Lort,Joseph Ayloffe,9
Charles Blagden,Samuel Wegg,9
Matthew Maty,Michael Lort,9
James Porter,Charles Morton,9
Charles Morton,Hugh Willoughby,9
Patrick Russell,Robert Burrow,9
John Turton,Samuel Horsley,9
James Douglas,Richard Roderick,9
Isaac Hawkins-Brown,James Creed,9
Thomas Astle,Michael Lort,9
Patrick Russell,Matthew Maty,9
Robert Burrow,Samuel Clark,9
Matthew Raper,John Clephane,9
John Hadley,Joseph Warner,9
John Darker,William Mann Godschal,9
William Hall,William Battie,9
James West,William Tempest,9
Samuel Hemming,Anthony Shepherd,9
Martin Folkes,Benjamin Prideaux,9
John Lewis Pettit,Richard Huck Saunders,9
Samuel Wegg,Alex Russell,9
William Roy,Daniel Wray,9
Robert Burrow,Gowin Knight,9
Samuel Mead,James West,9
Daniel Solander,Henry Palmerston,9
Samuel Wegg,William Hall,9
George Shuckborough,Daniel Solander,9
George Parker Macclesfield,Jonathan Richardson,9
Alex Russell,William Fauquier,9
Samuel Dyer,Charles Stanhope,9
John Walsh,John Turton,9
Henry Palmerston,William Watson,9
Matthew Raper,Charles  Feake,9
John Ross,William Fauquier,9
Samuel Wegg,James Douglas,9
William Mann Godschal,Anthony Shepherd,9
William Mann Godschal,John Ellicot,9
Edward Hooper,Nicholas Munckley,9
Henry Cavendish,Lewis Crusius,9
Michael Lort,Robert Barker,9
Ralph Verney,Gowin Knight,9
John Darker,John Smeaton,9
Isaac Hawkins-Brown,Robert Watson,9
Jeremy Dyson,James Burrow,9
John Mitchel,John Ellicot,9
Cadogan,Peter Newcome,9
Samuel Chandler,Charleton Wollaston,9
Henry Cavendish,Francis Fauquier,9
William Freeman,George Bell,9
Joshua Iremonger,John Pringle,9
Matthew Raper,Taylor White,9
John Hadley,James Creed,9
Robert Burrow,Alex Russell,9
William Junior Watson,Samuel Wegg,9
Robert Watson,George Lloyd,9
George Shuckborough,Henry Cavendish,9
Francis Fauquier,George  Graham,9
Peter Daval,William Battie,9
Samuel Dyer,Isaac Hawkins-Brown,9
Thomas Astle,Henry Bolt Cay,9
Daines Barrington,John Cuthbert,9
William Musgrave,William Roy,9
William Freeman,Charles Stanhope,9
Matthew Maty,Robert Burrow,9
James Porter,William Watson,9
John Ross,George Lloyd,9
Charles Morton,Joshua Iremonger,9
Cadogan,Samuel Clark,9
Richard Huck Saunders,James Douglas,9
Hugh Hume,Charles Cavendish,9
Thomas Astle,Daines Barrington,9
Francis Wollaston,Neville Maskeleyne,9
John Colebrooke,Peter Newcome,9
Arthur Pond,Paul Whichcote,9
George Baker,Thomas Birch,9
George  Graham,Jonathan Richardson,9
Alexander Dalrymple,Robert Burrow,9
Henry Bolt Cay,Philip Miller,9
John Lewis Pettit,John Hyde,9
Benjamin Robins,Richard Graham,9
John Colebrooke,Richard Roderick,9
Thomas Wood,James Burrow,9
Charles Morton,Ralph Verney,9
Alex Russell,Mark Akenside,9
James Douglas,James Creed,9
Robert Moore,Peter Newcome,9
John Smeaton,Samuel Clark,9
Matthew Duane,John Cuthbert,9
Joseph Planta,Robert Burrow,9
John Pringle,George Lloyd,9
Charles Blagden,William Mann Godschal,9
Samuel Chandler,Peter Newcome,9
Lewis Crusius,Daniel Wray,9
William Musgrave,Joseph Ayloffe,9
George Parker Macclesfield,David Papillon,9
John Turton,Edward Hooper,9
Wellbore Ellis,Paul Whichcote,9
William Junior Watson,James Stuart,9
William Junior Watson,John Cuthbert,9
Neville Maskeleyne,Joseph Warner,9
Henry Palmerston,Henry Cavendish,9
Matthew Raper,Arthur Pond,8
John Turton,Samuel Wegg,8
Richard Kaye,Thomas Astle,8
John Ross,Robert Moore,8
Alex Russell,Charles Cavendish,8
Samuel Dyer,Richard Roderick,8
James Porter,Samuel Horsley,8
Patrick Russell,John Darker,8
George Lloyd,William Heberden,8
Richard Huck Saunders,William Heberden,8
Matthew Duane,Michael Lort,8
Peter Daval,John Colebrooke,8
William Fauquier,Hugh Willoughby,8
William Tempest,William Dixon,8
William Junior Watson,John Lewis Pettit,8
William Freeman,John Ellicot,8
Mark Akenside,Martin Folkes,8
Thomas Wood,Hugh Willoughby,8
Charles Morton,George Lloyd,8
Alex Russell,James Creed,8
John Clephane,David Papillon,8
Henry Bolt Cay,Charles Cavendish,8
Joshua Iremonger,Mark Akenside,8
John Mitchel,George Bell,8
Cadogan,Samuel Dyer,8
John Clephane,Wellbore Ellis,8
Taylor White,John Pringle,8
William Musgrave,William Heberden,8
Michael Lort,Josiah Colebrooke,8
Daines Barrington,Matthew Maty,8
Gowin Knight,Benjamin Prideaux,8
Henry Bolt Cay,Thomas Wood,8
William Fauquier,James Creed,8
Alex Russell,Robert Moore,8
Matthew Raper,Robert Barker,8
Joseph Warner,George Bell,8
