Meeting date,Dish giver,Dish name,Quantity
1763-07-14,James Douglas,gooseberries,2
1763-07-14,James Douglas,currants,2
1763-07-14,James Douglas,apricots,1
1763-07-28,Shaftesbury,haunch of venison,1
1763-07-28,Shaftesbury,neck of venison,1
1763-07-28,Shaftesbury,venison pasty,1
1763-08-04,James Douglas,pineapple,2
1763-08-04,James Douglas,gooseberries,2
1763-08-04,James Douglas,currants,2
1763-08-04,James Douglas,apricots,2
1763-08-11,Hugh Hume,pickled salmon,2
1763-08-11,James Douglas,pineapple,2
1763-08-11,James Douglas,currants,1
1763-08-11,James Douglas,apricots,1
1763-08-11,James Douglas,peaches,1
1763-08-11,James Douglas,plums,1
1763-08-18,Hugh Hume,pickled salmon,1
1763-09-01,William Heberden,haunch of venison,1
1763-09-01,Hugh Hume,pickled salmon,1
1764-04-19,Hugh Hume,pickled salmon,1
1764-04-26,Hugh Hume,pickled salmon,1
1764-05-24,James Douglas,roast pig,2
1764-06-14,Hugh Hume,pickled salmon,2
1764-06-21,Hugh Hume,pickled salmon,1
1764-07-12,William Heberden,haunch of venison,1
1764-07-26,Shaftesbury,haunch of venison,1
1764-07-26,Shaftesbury,neck of venison,1
1764-07-26,Shaftesbury,venison pye,1
1764-08-02,Phillip York,haunch of venison,1
1764-08-02,Phillip York,neck of venison,1
1764-08-02,Phillip York,venison pasty,1
1765-05-09,Hugh Hume,pickled salmon,1
1765-05-16,Hugh Hume,pickled salmon,1
1765-05-23,Hugh Hume,pickled salmon,1
1765-05-30,Hugh Hume,pickled salmon,2
1765-06-06,Hugh Hume,pickled salmon,1
1765-06-20,William Heberden,turtle,1
1765-07-04,Phillip York,haunch of venison,1
1765-07-04,Phillip York,venison pye,1
1765-07-25,Shaftesbury,haunch of venison,1
1765-07-25,Shaftesbury,neck of venison,1
1765-07-25,Shaftesbury,venison pasty,1
1765-08-08,William Heberden,haunch of venison,1
1765-10-03,William Watson,turtle,1
1765-10-31,James Douglas,pear,1
1765-10-31,James Douglas,pineapple,1
1765-10-31,James Douglas,grapes,1
1765-11-07,James Douglas,pear,1
1765-11-07,James Douglas,pineapple,1
1765-11-07,James Douglas,grapes,1
1766-01-30,Hugh Hume,pickled salmon,1
1766-02-06,Hugh Hume,pickled salmon,1
1766-02-13,Hugh Hume,pickled salmon,1
1766-06-05,James Douglas,pineapple,1
1766-06-05,James Douglas,grapes,1
1766-06-26,Josiah Colebrooke,achbone of beef,1
1766-07-03,James Douglas,melon,1
1766-07-03,James Douglas,pineapple,2
1766-07-03,James Douglas,strawberries,1
1766-07-10,James Douglas,melon,1
1766-07-10,James Douglas,pineapple,1
1766-07-10,James Douglas,cherry,1
1766-07-10,James Douglas,gooseberries,1
1766-07-10,James Douglas,apricots,1
1766-07-10,James Douglas,grapes,1
1766-07-10,James Douglas,strawberries,1
1766-07-10,James Douglas,rasberries,1
1766-07-17,Phillip York,haunch of venison,1
1766-07-17,Phillip York,neck of venison,1
1766-07-17,Josiah Colebrooke,turbot,1
1766-07-17,Phillip York,venison pasty,1
1766-07-24,James Douglas,pineapple,1
1766-07-24,James Douglas,gooseberries,1
1766-07-24,James Douglas,grapes,1
1766-07-31,James Douglas,melon,1
1766-07-31,James Douglas,pineapple,1
1766-07-31,James Douglas,apricots,1
1766-08-07,William Heberden,haunch of venison,1
1767-04-30,Hugh Hume,pickled salmon,2
1767-05-07,Hugh Hume,pickled salmon,1
1767-05-14,Hugh Hume,pickled salmon,2
1767-05-21,Hugh Hume,pickled salmon,2
1767-05-28,Hugh Hume,pickled salmon,1
1767-06-04,Hugh Hume,pickled salmon,2
1767-06-11,Hugh Hume,pickled salmon,1
1767-06-18,Hugh Hume,pickled salmon,1
1767-07-30,Shaftesbury,haunch of venison,1
1767-07-30,Shaftesbury,neck of venison,1
1767-07-30,Shaftesbury,venison pasty,1
1767-07-30,James Douglas,cantaloupe,1
1767-07-30,James Douglas,pineapple,3
1767-07-30,James Douglas,grapes,1
